description_pattern,category,min_amount_eur,max_amount_eur
BUY Bitcoin,Expenses:Investments,,
VALUE Bitcoin,VirtualIncome:Investment Transfers,,
Anthropic,Expenses:Subscriptions,,
MediaMarkt,Expenses:Discretionary,,
Deutsche Post,Expenses:Discretionary,,
Alpen Lebensmittelve,Expenses:Mandatory,,
BUY MSCI World USD,Expenses:Investments,,
VALUE MSCI World USD,VirtualIncome:Investment Transfers,,
BUY S&P 500 USD,Expenses:Investments,,
DEPOSIT Einzahlung,Transfer,,
VALUE S&P 500 USD,VirtualIncome:Investment Transfers,,
CHECK24,Expenses:Travel,,
Trade Republic Trade Republic,Transfer,,
VALUE Eurozone Government Bond EUR,VirtualIncome:Investment Transfers,,
BUY Eurozone Government Bond EUR,Expenses:Investments,,
Martin%Claudia,Income:Gifts,,
HOHWACHT,Expenses:Discretionary,,
HOCO ONLINE,Expenses:Bikes',,
Fleetenkieker,Expenses:Discretionary,,
Johns Burgers,Expenses:Discretionary,,
Etsy,Expenses:Discretionary,,
JUAN SIN MIEDO,Expenses:Discretionary,,
Naturcampingplatz,Expenses:Travel,,
Finanzamt für Steuererhebung in Hamburg,Income:Refunds,0,
"Stefan%Keidel%",Transfer,0,
Elisabeth Böhm,Expenses:Discretionary,,0
FAIRLIGHTCYCLES,Expenses:Bike,,
THE NIU,Expenses:Travel,,
RATSHERRN,Expenses:Discretionary,,
Niemerszein,Expenses:Mandatory,,
BAECKEREI GUENTHER,Expenses:Mandatory,,
IL MOLO,Expenses:Mandatory,,
BOC24,Expenses:Bike,,
HUNT BIKE WHEELS EU,Expenses:Bike,,
Streetfo Kiel,Expenses:Mandatory,,
HOLSTENBÄCKEREI,Expenses:Mandatory,,
Esso,Expenses:Discretionary,,
BERLINER VB BERLIN Filiale Weißensee,Expenses:Cash,,
Erbanteil,Income:Inheritance,,
Rose Pro SL 2022 und Zipp,Income:Selling Used Shit,,
HACKENPEDDER,Expenses:Bike,,
